Timestamp,Latitude,Longitude
1641503797_102361344,41.682616296211776,-72.69111270980024
1641503803_503337344,41.68209441522663,-72.69099376087172
1641503806_236271344,41.68162942496187,-72.69093237149072
1641503810_069908344,41.681145765153,-72.69083089927881
1641503813_403661344,41.68068082469736,-72.69069606096878
1641503815_639329344,41.6802508188264,-72.69058299799762
1641503818_703537344,41.67980216853869,-72.69048538688776
1641503822_537565344,41.67922639121718,-72.6903746274921
1641503824_037511344,41.67890574409678,-72.69031872359456
1641503826_337882344,41.67852761868335,-72.69020584384772
1641503827_870898344,41.67820112375566,-72.69015103464143
1641503830_637943344,41.6776846584994,-72.6900403965208
1641503833_804567344,41.6771353584392,-72.68991130311437
1641503834_938276344,41.676928743402485,-72.68987240938226
1641503836_904965344,41.67679241520217,-72.68985577670507
1641503839_138570344,41.676154180104234,-72.68974672028855
1641503841_171833344,41.67574949609816,-72.68964806830122
1641503843_271845344,41.67534667881475,-72.68957529349125
1641503846_672204344,41.674806530036015,-72.68939502103697
1641503849_605740344,41.674231179969546,-72.68928797169228
1641503852_107381344,41.673788564558016,-72.68922876613556
1641503857_405832344,41.673344909553684,-72.68909598594222
1641503864_739785344,41.67290771334893,-72.68900711261941
1641503867_439724344,41.67245607550685,-72.6889092032568
1641503871_106577344,41.67198397550009,-72.68879946075344
