Timestamp,Course,Speed
1641503778_367529600,0.0,0.0
1641503779_370164576,0.0,0.0
1641503780_371472192,0.0,0.0
1641503781_372516032,0.0,0.0
1641503782_374423904,0.0,0.0
1641503783_379199680,0.0,0.0
1641503784_380831264,0.0,0.0
1641503785_382664096,0.0,0.0
1641503786_384471200,0.0,0.0
1641503787_386487904,0.0,0.0
1641503788_387807936,0.0,0.0
1641503789_389863616,0.0,0.0
1641503790_391504544,0.0,0.0
1641503791_393472896,0.0,0.0
1641503792_401617312,0.0,0.0
1641503793_416320800,0.0,0.0
1641503794_417929440,0.0,0.0
1641503795_419472288,168.97,7.547172166
1641503796_421460256,170.57,12.611345816
1641503797_422489792,169.82,15.929466955999999
1641503798_424466144,169.19,18.905212675
1641503799_425838336,169.05,21.477067244
1641503800_427499040,170.48,24.466483125
1641503801_428537344,171.56,27.604406675
1641503802_430570944,170.98,29.813380579999997
1641503803_432431904,171.58,31.348788321
1641503804_436103776,170.38,32.404497649999996
1641503805_437590112,173.41,33.135229946
1641503806_439529888,169.12,34.033111041
1641503807_441449504,171.07,34.707919947
1641503808_442875552,171.86,35.849378474000005
1641503809_444576800,173.02,36.706870454
1641503810_446469824,171.9,36.339640193
1641503811_448488512,169.6,37.235657175
1641503812_449475328,171.37,37.717841071
1641503813_451813792,171.74,37.874426563
1641503814_453115168,170.75,36.430360359
1641503815_455731456,168.57,36.84108659
1641503816_457471200,169.67,35.968681706000005
1641503817_458538432,169.51,37.021905551
1641503818_460505888,169.94,39.87959078000001
1641503819_462463872,171.88,40.581118638999996
1641503820_464474240,169.9,41.206217865
1641503821_465612288,170.48,42.641584875
1641503822_467472544,170.4,43.348083702000004
1641503823_469248416,170.56,45.205361621
1641503824_470467488,173.02,43.413327657
1641503825_471455296,173.02,43.413327657
1641503826_473449952,170.0,44.405657144
1641503827_474452160,169.83,44.736847887
1641503828_475455936,169.89,45.14260315000001
1641503829_476469536,170.78,46.438161685
1641503830_477956736,171.11,46.995531472
1641503831_479596640,170.26,47.819469418
1641503832_481454528,170.63,46.901704451
1641503833_483471872,170.36,46.487249993999995
1641503834_484480320,171.32,46.457424186000004
1641503835_486484032,171.25,46.761274605
1641503836_487856000,171.25,46.761274605
1641503837_489762272,171.0,46.772459282999996
1641503838_492274880,170.73,46.812227027000006
1641503839_493521024,169.98,46.985589536
1641503840_495474528,170.11,48.220253713
1641503841_520862368,169.87,47.647349651
1641503842_522696800,171.6,47.434840769
1641503843_525691360,171.06,46.594125806
1641503844_527521728,171.02,46.456181443999995
1641503845_528598464,170.45,48.454510580000004
1641503846_530626336,170.67,47.165165755000004
1641503847_532476448,171.73,46.535095561000006
1641503848_535822080,171.19,45.604281803
1641503849_537501792,172.15,43.694187349
1641503850_539520320,171.94,41.402571101
1641503851_541431232,172.62,39.715548835999996
1641503852_542470752,171.11,37.620907195
1641503853_544513536,171.6,34.061694107
1641503854_545549024,172.39,30.216650359
1641503855_547482752,172.72,25.640874315
1641503856_549499840,171.71,20.661207121
1641503857_551454016,170.38,16.284891167999998
1641503858_552479680,168.85,11.381031236
1641503859_553596864,169.16,8.933450867000001
1641503860_555538720,171.07,10.218446095000001
1641503861_556542080,172.13,14.271027756999999
1641503862_558455680,172.26,18.511884832
1641503863_559504384,171.59,22.251916881
1641503864_561533568,170.95,25.562581569000002
1641503865_563488544,170.64,28.665086971999997
1641503866_564530368,169.8,31.255582671000003
1641503867_566461920,169.81,34.118860239
1641503868_567482112,169.98,35.637490963000005
1641503869_568500032,170.89,37.100819668
1641503870_570466624,170.53,37.913572936
1641503871_571890208,170.8,38.483991513999996
1641503872_573471264,170.63,38.919572585
1641503873_574512256,170.58,39.365095591999996
1641503874_576459872,170.2,39.136431064
